id,entity_type,name,description,official_url,repository_url,manufacturer,robot_type,physical_form,capabilities,payload,mobility,weight,operating_system,open_source,commercial_status,source_name,source_url,website_status,logo_status,quality_score,updated_at
robot:adityasurana/how-to-build-humanoid-robot-gyani2.0,robot,How-to-build-humanoid-robot-Gyani2.0,Software design/code of Humanoid Robot (Gyani 2.0) made by our team which work as a receptionist for our college.,,https://github.com/adityasurana/how-to-build-humanoid-robot-gyani2.0,adityasurana,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:shritankomm/7-dof-3dp-open-arm,robot,7-DOF-3DP-Open-Arm,"Open-source 7-DOF 3D-printable humanoid robotic arms, Supports ROS2, vision, and autonomous control. Built for under $800.",,https://github.com/shritankomm/7-dof-3dp-open-arm,shritankomm,Humanoid Robot,Bipedal Humanoid,manipulation,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T12:17:56.880514+00:00
robot:zelin-tao/motion-viewer,robot,motion-viewer,NPZ Viewer / Player for any humanoid robots — drag-and-drop motion visualization in the browser,https://zelin-tao.github.io/motion-viewer,https://github.com/zelin-tao/motion-viewer,Zelin-Tao,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Commercial Product,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:bitroboticslab/astarfootstepplanner,robot,AStarFootstepPlanner,A* footstep planner for humanoid robots in C++ — finds optimal footstep sequences on complex terrain with kinematic constraints,,https://github.com/bitroboticslab/astarfootstepplanner,bitroboticslab,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Commercial Product,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:ugo-plus/lerobot-robot-ugo-pro,robot,lerobot-robot-ugo-pro,ugo Pro integration for LeRobot,https://ugo.plus/products/ugo-pro-rd,https://github.com/ugo-plus/lerobot-robot-ugo-pro,ugo-plus,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Commercial Product,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:yasuohayashibara/generate-walking-pattern-based-on-linear-inverted-pendulum-model,robot,generate-walking-pattern-based-on-linear-inverted-pendulum-model,Walking Pattern Generator based on linear inverted pendulum model,,https://github.com/yasuohayashibara/generate-walking-pattern-based-on-linear-inverted-pendulum-model,yasuohayashibara,Humanoid Robot,Bipedal Humanoid,bipedal_locomotion,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T12:17:56.880514+00:00
robot:yaoguangluo/deta_catalytic_dna,robot,Deta_Catalytic_DNA,"Humanoid & catalytic DNA for AI   这个项目免费赠送给所有碳基智慧体. 生命词根,肽展公式模拟, 肽计算, DNA计算.",,https://github.com/yaoguangluo/deta_catalytic_dna,yaoguangluo,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:devizi0/iroc-aimissonracing,robot,IROC-AiMissonRacing,2023년 국제로봇올림피아드 Ai미션레이싱 대회 소스코드,,https://github.com/devizi0/iroc-aimissonracing,devizi0,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:3457109829zzx-svg/unitree_g1_llm_chat,robot,unitree_g1_llm_chat,宇树G1-基于大语言模型(LLM)的语音交互与控制框架，支持自然语言指令驱动手臂动作与运动控制。,,https://github.com/3457109829zzx-svg/unitree_g1_llm_chat,3457109829zzx-svg,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:soheilkhatibi/robocup-humanoid-mrl-webots-simulation,robot,RoboCup-Humanoid-MRL-Webots-Simulation,Webots Simulation of RoboCup 2019 Humanoid Soccer Environment. ,,https://github.com/soheilkhatibi/robocup-humanoid-mrl-webots-simulation,SoheilKhatibi,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:ami-iit/paper_sartore_2022_humanoids_ergonomic_design,robot,paper_sartore_2022_humanoids_ergonomic_design,Humanoids 2022 Paper,,https://github.com/ami-iit/paper_sartore_2022_humanoids_ergonomic_design,ami-iit,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:zc-xzc/robot_platform,robot,robot_platform,Head-tracking active vision platform for humanoid robots — PICO 4 → dual-axis gimbal → D415 camera. 3D-printable mounts & URDF/SDF simulation models included.,,https://github.com/zc-xzc/robot_platform,zc-xzc,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:spidoug/synrov,robot,SynROV,"SynROV is a multi-robot platform. The project combines Arduino firmware, a Processing-based 3D operator station, a browser control console, the Python AiBot runtime, and optional ROS 2/rosbridge integration.",,https://github.com/spidoug/synrov,Spidoug,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:omrfrkkus/adam-humanoid-robot-showcase,robot,Adam-Humanoid-Robot-Showcase,"Architectural showcase of Adam, a 3D-printed embodied AI humanoid integrating Google Gemini, Llama, and computer vision for ultra-low latency physical interaction.",,https://github.com/omrfrkkus/adam-humanoid-robot-showcase,omrfrkkus,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:yuanoook/alitaalita,robot,alitaalita,Everything You Need To Know About Humanoid Robots,https://alitaalita.com,https://github.com/yuanoook/alitaalita,yuanoook,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Commercial Product,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:bitroboticslab/robot-motion-player,robot,robot-motion-player,"Visualizer & editor for AMP motion datasets, built for legged robot locomotion and trajectory optimization research",,https://github.com/bitroboticslab/robot-motion-player,bitroboticslab,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Commercial Product,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:lekha-reddy-git-hub/thoughtlink,robot,thoughtlink,Brain-to-robot intent decoder: decoding EEG brain signals into humanoid robot commands at 24ms latency. Multi-robot fleet orchestration with one human supervising 10+ autonomous robots. Hack Nation 2026 - ThoughtLink Challenge (Kernel & Dimensional).,https://huggingface.co/datasets/KernelCo/robot_control,https://github.com/lekha-reddy-git-hub/thoughtlink,Lekha-Reddy-git-hub,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Commercial Product,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:zhouyikaiii/ddc,robot,DDC,DDC (Deployable Dynamic-CoM): a unified policy and method-agnostic sim2sim benchmark for humanoid single-leg stance; deploys on a real Unitree G1. arXiv:2608.00500,https://estoil.github.io/DDC,https://github.com/zhouyikaiii/ddc,zhouyikaiii,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Commercial Product,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:ivelin/zk0,robot,zk0,Community raised humanoid,https://zk0.bot,https://github.com/ivelin/zk0,ivelin,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Commercial Product,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:omrfrkkus/johnny-humanoid-robot-showcase,robot,Johnny-Humanoid-Robot-Showcase,"Demonstration of Johnny, an AI-driven INMOOV humanoid robot. Features synchronization of cloud LLMs (Google Vertex AI) with Arduino-controlled physical servos.",,https://github.com/omrfrkkus/johnny-humanoid-robot-showcase,omrfrkkus,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:byt3n33dl3/evoducks,robot,EvoDucks,Rubber Ducky scripts 4.0,https://usbrubberducky.com,https://github.com/byt3n33dl3/evoducks,byt3n33dl3,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Commercial Product,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
